KEY,第1个坐标,第2个坐标,第3个坐标,第4个坐标,第5个坐标
A793,313-317,278-319,0,0,0
A794,192-311,161-302,0,0,0
A795,93-247,82-215,0,0,0
A796,122-149,154-136,0,0,0
A797,250-123,286-122,0,0,0
A798,394-136,432-140,0,0,0
A799,535-158,572-161,0,0,0
A800,0,0,0,0,0
A801,291-939,322-935,0,0,0
A802,402-900,419-874,0,0,0
A803,468-813,498-798,0,0,0
A804,585-782,620-782,0,0,0
A805,714-782,747-784,0,0,0
A806,836-775,869-762,0,0,0
A807,921-700,924-669,0,0,0
A808,916-588,905-555,0,0,0
A809,862-483,833-461,0,0,0
A810,746-433,710-437,0,0,0
A811,618-456,587-470,0,0,0
A812,529-535,512-566,0,0,0
A813,458-634,428-653,0,0,0
A814,341-680,302-680,0,0,0
A815,206-664,173-648,0,0,0
A816,119-584,115-553,0,0,0
A817,128-472,139-443,0,0,0
A818,195-378,233-375,0,0,0
A819,327-389,364-397,0,0,0
A820,460-401,496-399,0,0,0
A821,585-374,615-357,0,0,0
A822,676-301,682-266,0,0,0
A823,661-187,655-159,0,0,0
A824,691-91,730-86,0,0,0
A825,0,0,0,0,0
A826,232-791,215-768,0,0,0
A827,203-690,227-664,0,0,0
A828,316-630,354-632,0,0,0
A829,450-653,484-667,0,0,0
A830,567-704,603-721,0,0,0
A831,694-744,734-747,0,0,0
A832,823-726,851-702,0,0,0
A833,882-621,877-589,0,0,0
A834,814-528,780-513,0,0,0
A835,685-503,648-505,0,0,0
A836,559-517,523-520,0,0,0
A837,434-527,397-526,0,0,0
A838,303-515,266-505,0,0,0
A839,186-463,171-432,0,0,0
A840,199-358,227-340,0,0,0
A841,308-313,344-308,0,0,0
A842,430-314,465-319,0,0,0
A843,560-341,597-346,0,0,0
A844,697-348,738-343,0,0,0
A845,819-300,840-271,0,0,0
A846,835-182,806-161,0,0,0
A847,716-124,681-114,0,0,0
A848,586-91,553-86,0,0,0
A849,389-69,357-66,0,0,0
A850,0,0,0,0,0
A851,368-742,401-730,0,0,0
A852,486-703,524-695,0,0,0
A853,615-686,652-685,0,0,0
A854,749-679,782-674,0,0,0
A855,863-646,889-632,0,0,0
A856,927-560,927-533,0,0,0
A857,886-460,861-445,0,0,0
A858,776-421,742-416,0,0,0
A859,653-424,620-432,0,0,0
A860,536-460,506-473,0,0,0
A861,423-509,396-524,0,0,0
A862,311-550,277-557,0,0,0
A863,185-549,157-535,0,0,0
A864,93-467,84-435,0,0,0
A865,92-344,100-311,0,0,0
A866,139-231,157-206,0,0,0
A867,229-156,254-141,0,0,0
A868,341-110,371-102,0,0,0
A869,472-101,504-104,0,0,0
A870,586-127,615-140,0,0,0
A871,691-187,715-205,0,0,0
A872,802-250,840-239,0,0,0
A873,830-149,819-125,0,0,0
A874,759-67,732-54,0,0,0
A875,0,0,0,0,0
A876,208-852,241-867,0,0,0
A877,330-867,362-854,0,0,0
A878,441-809,473-791,0,0,0
A879,554-759,590-749,0,0,0
A880,678-727,716-720,0,0,0
A881,812-705,847-695,0,0,0
A882,904-631,904-599,0,0,0
A883,824-553,786-550,0,0,0
A884,696-561,663-569,0,0,0
A885,571-595,540-610,0,0,0
A886,449-653,418-670,0,0,0
A887,330-702,293-704,0,0,0
A888,219-651,203-623,0,0,0
A889,217-546,241-526,0,0,0
A890,333-511,372-506,0,0,0
A891,469-498,508-494,0,0,0
A892,599-472,633-460,0,0,0
A893,720-433,749-420,0,0,0
A894,821-367,831-336,0,0,0
A895,840-252,830-220,0,0,0
A896,755-171,714-171,0,0,0
A897,626-193,589-203,0,0,0
A898,496-191,478-166,0,0,0
A899,515-88,542-69,0,0,0
A900,0,0,0,0,0
A901,183-752,182-723,0,0,0
A902,184-640,184-612,0,0,0
A903,184-531,190-492,0,0,0
A904,280-492,318-492,0,0,0
A905,385-529,385-559,0,0,0
A906,385-638,385-664,0,0,0
A907,388-744,390-784,0,0,0
A908,442-845,479-847,0,0,0
A909,569-847,609-847,0,0,0
A910,703-847,742-845,0,0,0
A911,825-813,839-776,0,0,0
A912,840-683,839-648,0,0,0
A913,840-561,839-529,0,0,0
A914,839-441,825-407,0,0,0
A915,716-399,678-399,0,0,0
A916,586-399,540-399,0,0,0
A917,436-399,390-399,0,0,0
A918,293-399,255-399,0,0,0
A919,184-362,180-329,0,0,0
A920,182-247,201-219,0,0,0
A921,293-219,326-219,0,0,0
A922,420-219,454-219,0,0,0
A923,546-219,580-219,0,0,0
A924,669-187,686-158,0,0,0
A925,0,0,0,0,0
A926,367-866,382-818,0,0,0
A927,449-753,478-750,0,0,0
A928,560-768,591-780,0,0,0
A929,676-804,709-809,0,0,0
A930,801-798,826-779,0,0,0
A931,859-706,855-677,0,0,0
A932,816-609,791-591,0,0,0
A933,675-549,709-557,0,0,0
A934,583-561,547-573,0,0,0
A935,453-591,413-593,0,0,0
A936,325-586,294-576,0,0,0
A937,220-534,204-511,0,0,0
A938,177-436,177-406,0,0,0
A939,213-338,233-315,0,0,0
A940,306-275,340-267,0,0,0
A941,425-293,443-318,0,0,0
A942,486-393,509-418,0,0,0
A943,594-457,628-459,0,0,0
A944,720-458,754-450,0,0,0
A945,831-409,847-382,0,0,0
A946,855-301,841-274,0,0,0
A947,759-225,727-212,0,0,0
A948,645-168,617-145,0,0,0
A949,654-77,684-63,0,0,0
A950,0,0,0,0,0
A951,257-780,277-796,0,0,0
A952,356-830,383-838,0,0,0
A953,470-839,505-833,0,0,0
A954,575-780,612-764,0,0,0
A955,693-734,712-712,0,0,0
A956,721-630,710-601,0,0,0
A957,682-526,674-497,0,0,0
A958,686-423,706-396,0,0,0
A959,767-336,790-317,0,0,0
A960,855-268,870-239,0,0,0
A961,868-155,849-129,0,0,0
A962,776-81,741-72,0,0,0
A963,657-74,629-80,0,0,0
A964,558-130,548-157,0,0,0
A965,531-235,531-265,0,0,0
A966,535-341,534-371,0,0,0
A967,537-450,537-482,0,0,0
A968,536-559,531-590,0,0,0
A969,505-671,479-697,0,0,0
A970,391-710,361-692,0,0,0
A971,334-609,331-578,0,0,0
A972,333-492,337-462,0,0,0
A973,348-380,352-349,0,0,0
A974,371-272,376-244,0,0,0
A975,0,0,0,0,0
A976,655-850,622-846,0,0,0
A977,523-839,486-839,0,0,0
A978,450-786,458-751,0,0,0
A979,362-730,328-730,0,0,0
A980,229-729,194-718,0,0,0
A981,182-633,205-606,0,0,0
A982,299-596,336-600,0,0,0
A983,426-606,464-608,0,0,0
A984,559-628,597-636,0,0,0
A985,689-656,728-657,0,0,0
A986,819-655,852-648,0,0,0
A987,922-594,931-565,0,0,0
A988,881-491,859-474,0,0,0
A989,780-429,753-421,0,0,0
A990,664-425,634-435,0,0,0
A991,543-436,505-432,0,0,0
A992,406-435,371-440,0,0,0
A993,278-461,239-463,0,0,0
A994,155-440,134-414,0,0,0
A995,134-326,154-294,0,0,0
A996,239-249,272-234,0,0,0
A997,363-212,400-205,0,0,0
A998,499-199,535-199,0,0,0
A999,633-203,664-199,0,0,0
A1000,0,0,0,0,0
A1001,465-852,550-844,0,0,0
A1002,597-811,638-795,0,0,0
A1003,722-753,749-719,0,0,0
A1004,741-631,701-623,0,0,0
A1005,597-639,556-655,0,0,0
A1006,458-683,413-691,0,0,0
A1007,314-699,275-691,0,0,0
A1008,222-631,226-592,0,0,0
A1009,297-532,332-522,0,0,0
A1010,435-510,475-510,0,0,0
A1011,575-507,617-502,0,0,0
A1012,719-486,757-475,0,0,0
A1013,849-435,869-403,0,0,0
A1014,895-319,892-286,0,0,0
A1015,841-216,818-190,0,0,0
A1016,740-144,710-128,0,0,0
A1017,620-105,584-103,0,0,0
A1018,485-132,466-160,0,0,0
A1019,460-238,466-273,0,0,0
A1020,466-359,437-379,0,0,0
A1021,350-379,313-371,0,0,0
A1022,243-319,226-286,0,0,0
A1023,229-198,245-168,0,0,0
A1024,314-105,342-81,0,0,0
A1025,0,0,0,0,0
A1026,405-842,430-830,0,0,0
A1027,514-790,550-783,0,0,0
A1028,645-773,680-767,0,0,0
A1029,773-767,809-763,0,0,0
A1030,892-715,917-694,0,0,0
A1031,934-617,924-582,0,0,0
A1032,883-510,850-490,0,0,0
A1033,780-446,745-438,0,0,0
A1034,651-449,619-472,0,0,0
A1035,550-527,529-551,0,0,0
A1036,476-610,452-629,0,0,0
A1037,372-658,335-666,0,0,0
A1038,250-671,219-661,0,0,0
A1039,141-626,125-598,0,0,0
A1040,119-515,133-485,0,0,0
A1041,173-416,201-397,0,0,0
A1042,284-384,313-392,0,0,0
A1043,407-408,439-408,0,0,0
A1044,524-400,556-389,0,0,0
A1045,624-345,646-322,0,0,0
A1046,678-254,670-227,0,0,0
A1047,661-145,676-116,0,0,0
A1048,773-105,804-105,0,0,0
A1049,901-121,931-137,0,0,0
A1050,0,0,0,0,0
A1051,245-753,273-748,0,0,0
A1052,358-753,387-761,0,0,0
A1053,466-786,493-797,0,0,0
A1054,580-829,617-831,0,0,0
A1055,711-823,739-812,0,0,0
A1056,820-772,850-761,0,0,0
A1057,905-696,917-668,0,0,0
A1058,888-591,859-572,0,0,0
A1059,771-548,742-534,0,0,0
A1060,756-455,762-426,0,0,0
A1061,703-375,668-375,0,0,0
A1062,584-406,554-422,0,0,0
A1063,475-457,447-473,0,0,0
A1064,379-513,351-523,0,0,0
A1065,273-558,241-566,0,0,0
A1066,159-545,142-526,0,0,0
A1067,111-455,114-428,0,0,0
A1068,125-355,133-326,0,0,0
A1069,163-258,174-238,0,0,0
A1070,221-186,245-174,0,0,0
A1071,326-148,353-140,0,0,0
A1072,438-138,466-143,0,0,0
A1073,550-143,580-137,0,0,0
A1074,651-92,668-76,0,0,0
A1075,0,0,0,0,0
A1076,355-738,382-727,0,0,0
A1077,466-701,503-693,0,0,0
A1078,594-685,623-684,0,0,0
A1079,727-680,762-674,0,0,0
A1080,851-646,882-621,0,0,0
A1081,920-557,920-529,0,0,0
A1082,872-464,844-449,0,0,0
A1083,756-425,723-421,0,0,0
A1084,640-428,609-436,0,0,0
A1085,535-466,507-477,0,0,0
A1086,427-511,399-523,0,0,0
A1087,314-546,283-553,0,0,0
A1088,195-553,166-545,0,0,0
A1089,119-478,132-449,0,0,0
A1090,166-373,161-347,0,0,0
A1091,135-268,131-239,0,0,0
A1092,184-171,215-152,0,0,0
A1093,297-121,332-111,0,0,0
A1094,426-100,453-101,0,0,0
A1095,542-114,572-121,0,0,0
A1096,653-160,680-179,0,0,0
A1097,753-235,783-243,0,0,0
A1098,839-195,831-165,0,0,0
A1099,787-98,770-78,0,0,0
A1100,0,0,0,0,0
